股票代码,股票名称,预警日期,预警时间,预警价格,次日开盘,次日收盘,后日开盘,后日收盘
SZ000965,天保基建,2025-05-08,09:30:06,4.21,4.16,4.12,4.01,4.00
SZ000532,华金资本,2025-05-08,09:30:06,14.71,14.84,14.50,14.61,14.77
SZ002345,潮宏基,2025-05-08,09:30:06,9.82,9.40,9.76,9.43,9.33
SZ002471,中超控股,2025-05-08,09:30:06,3.90,4.20,3.77,3.77,4.15
SZ002860,星帅尔,2025-05-08,09:30:06,13.26,13.30,12.68,12.84,13.95
SZ002539,云图控股,2025-05-08,09:30:06,8.59,8.50,8.45,8.47,8.46
SZ000566,海南海药,2025-05-08,09:30:06,5.13,5.35,5.26,5.21,5.14
SH603586,金麒麟,2025-05-08,09:30:06,17.77,17.13,16.91,16.92,17.35
SH600611,大众交通,2025-05-08,09:30:06,6.52,6.58,6.34,6.40,6.37
SZ002195,岩山科技,2025-05-08,09:30:06,5.93,5.79,5.82,5.87,5.97
SZ002342,巨力索具,2025-05-08,09:30:06,5.26,5.30,5.15,5.11,5.20
SZ300567,精测电子,2025-05-08,09:30:09,63.10,63.50,61.15,61.70,60.96
SZ002819,东方中科,2025-05-08,09:30:09,29.30,30.79,31.28,31.00,31.00
SH600587,新华医疗,2025-05-08,09:30:09,15.33,15.41,15.17,15.29,15.37
SZ300760,迈瑞医疗,2025-05-08,09:30:09,222.43,225.69,224.00,226.48,229.15
SZ002664,信质集团,2025-05-08,09:30:09,19.86,20.20,19.30,19.66,19.93
SH600844,丹化科技,2025-05-08,09:30:12,3.35,3.22,3.26,3.24,3.17
SZ002553,南方精工,2025-05-08,09:30:12,23.40,23.38,25.00,25.01,26.22
SZ002265,建设工业,2025-05-08,09:30:12,24.30,24.09,23.13,23.10,24.35
SH600081,东风科技,2025-05-08,09:30:12,14.45,14.39,14.19,14.26,14.21
SH603966,法兰泰克,2025-05-08,09:30:12,10.31,10.69,10.79,10.79,10.69
SH603955,大千生态,2025-05-08,09:30:12,26.64,29.58,29.55,29.27,31.04
SZ001260,坤泰股份,2025-05-08,09:30:15,18.23,18.21,18.13,18.30,18.16
SZ300736,百邦科技,2025-05-08,09:30:15,9.84,9.75,9.58,9.67,9.69
SZ300005,探路者,2025-05-08,09:30:15,10.48,10.58,10.06,10.18,10.06
SH603078,江化微,2025-05-08,09:30:18,20.72,20.24,19.36,19.54,19.50
SH603579,荣泰健康,2025-05-08,09:30:18,24.17,26.17,24.60,25.00,27.06
SZ000056,皇庭国际,2025-05-08,09:30:18,3.31,3.33,3.20,3.21,3.22
SH601208,东材科技,2025-05-08,09:30:18,9.39,9.54,9.67,9.70,9.69
SH603657,春光科技,2025-05-08,09:30:18,22.24,22.40,24.64,24.70,27.10
SH600649,城投控股,2025-05-08,09:30:21,4.49,4.45,4.37,4.39,4.39
SH603042,华脉科技,2025-05-08,09:30:21,13.97,14.15,14.27,14.38,14.21
SH600448,华纺股份,2025-05-08,09:30:24,3.41,3.94,3.94,4.33,4.10
SZ002869,金溢科技,2025-05-08,09:30:24,24.25,24.58,24.17,24.45,24.60
SH603211,晋拓股份,2025-05-08,09:30:24,18.19,18.17,17.67,17.79,18.02
SZ002501,利源股份,2025-05-08,09:30:24,2.12,2.15,2.08,2.08,2.12
SH603890,春秋电子,2025-05-08,09:30:24,11.95,12.10,11.91,12.30,12.38
SH600901,江苏金租,2025-05-08,09:30:27,5.40,5.31,5.50,5.49,5.48
SZ002355,兴民智通,2025-05-08,09:30:27,6.96,7.05,6.82,6.88,6.90
SZ300562,乐心医疗,2025-05-08,09:30:30,14.68,14.77,14.46,14.63,14.85
SZ301317,鑫磊股份,2025-05-08,09:30:30,22.85,30.53,32.70,28.63,31.80
SZ300486,东杰智能,2025-05-08,09:30:30,6.88,6.93,6.83,6.90,6.96
SZ300230,永利股份,2025-05-08,09:30:30,4.56,4.76,4.68,4.73,4.78
SZ300448,浩云科技,2025-05-08,09:30:30,6.37,6.46,6.35,6.44,6.53
SZ300075,数字政通,2025-05-08,09:30:30,16.78,17.05,16.72,16.88,16.91
SZ002681,奋达科技,2025-05-08,09:30:30,7.40,7.51,7.46,7.58,7.55
SZ001319,铭科精技,2025-05-08,09:30:30,26.76,27.02,28.14,28.38,28.55
SH600397,安源煤业,2025-05-08,09:30:33,5.13,5.16,5.13,5.17,5.12
SZ300304,云意电气,2025-05-08,09:30:33,7.61,7.72,7.59,7.69,7.70
SH605058,澳弘电子,2025-05-08,09:30:33,23.00,23.35,23.15,23.35,23.31
SZ002106,莱宝高科,2025-05-08,09:30:33,10.88,11.22,11.38,11.50,11.35
SZ002698,博实股份,2025-05-08,09:30:33,16.83,16.90,16.53,16.69,16.89
SZ300620,光库科技,2025-05-08,09:30:33,42.17,42.86,42.14,42.80,42.61
SZ002402,和而泰,2025-05-08,09:30:33,20.15,20.66,20.74,21.00,20.83
SZ000823,超声电子,2025-05-08,09:30:36,10.03,10.16,10.06,10.16,10.15
SZ002137,实益达,2025-05-08,09:30:36,7.72,7.90,7.75,7.83,7.87
SZ001266,宏英智能,2025-05-08,09:30:36,24.81,24.99,24.82,25.26,24.99
SZ300373,扬杰科技,2025-05-08,09:30:36,47.79,47.66,47.20,47.66,47.58
SZ001239,永达股份,2025-05-08,09:30:36,14.86,15.17,15.12,15.28,15.40
SZ002599,盛通股份,2025-05-08,09:30:36,8.85,9.50,9.16,9.34,9.43
SZ300017,网宿科技,2025-05-08,09:30:36,11.96,11.88,11.63,11.76,11.73
SZ002997,瑞鹄模具,2025-05-08,09:30:36,40.58,40.10,38.84,39.60,39.54
SZ300581,晨曦航空,2025-05-08,09:30:36,12.03,13.80,15.05,15.03,18.06
SZ001212,中旗新材,2025-05-08,09:30:39,59.74,58.01,56.86,57.28,60.40
SZ300850,新强联,2025-05-08,09:30:39,29.49,29.53,29.65,29.70,29.45
SZ300510,金冠股份,2025-05-08,09:30:39,4.16,4.26,4.17,4.20,4.20
SZ002547,春兴精工,2025-05-08,09:30:39,4.37,4.38,4.29,4.31,4.72
SZ002384,东山精密,2025-05-08,09:30:39,26.92,27.79,27.07,28.56,28.71
SZ300585,奥联电子,2025-05-08,09:30:39,13.94,14.07,13.83,13.95,14.10
SZ002526,山东矿机,2025-05-08,09:30:39,3.89,3.90,3.85,3.89,3.91
SZ300904,威力传动,2025-05-08,09:30:39,58.66,60.06,60.87,60.87,61.76
SZ000158,常山北明,2025-05-08,09:30:39,24.91,24.65,24.86,24.87,25.70
SZ300378,鼎捷数智,2025-05-08,09:30:39,37.44,36.82,35.97,36.24,36.50
SZ300693,盛弘股份,2025-05-08,09:30:39,31.80,32.47,31.27,31.97,31.99
SZ301161,唯万密封,2025-05-08,09:30:39,21.77,22.29,22.07,22.32,22.51
SZ301268,铭利达,2025-05-08,09:30:39,17.65,17.78,17.39,17.72,18.00
SZ001380,华纬科技,2025-05-08,09:30:42,35.13,35.68,33.72,34.05,34.40
SZ002651,利君股份,2025-05-08,09:30:42,7.88,8.67,8.94,8.39,9.83
SZ300402,宝色股份,2025-05-08,09:30:42,17.70,18.16,17.58,17.73,17.86
SH601869,长飞光纤,2025-05-08,09:30:42,35.11,36.02,35.50,35.70,35.67
SZ301299,卓创资讯,2025-05-08,09:30:42,60.20,60.13,58.80,59.63,60.79
SH603626,科森科技,2025-05-08,09:30:42,8.22,8.10,7.95,8.24,8.28
SZ301368,丰立智能,2025-05-08,09:30:42,72.42,71.75,69.53,70.90,72.32
SZ300154,瑞凌股份,2025-05-08,09:30:42,10.19,10.26,10.08,10.19,10.33
SH605088,冠盛股份,2025-05-08,09:30:45,38.40,38.48,38.08,41.09,39.45
SH603238,诺邦股份,2025-05-08,09:30:45,14.97,15.15,15.33,15.51,15.56
SZ300752,隆利科技,2025-05-08,09:30:45,18.78,19.32,19.16,19.30,19.32
SZ300480,光力科技,2025-05-08,09:30:45,13.57,13.89,13.51,13.67,13.73
SZ300707,威唐工业,2025-05-08,09:30:45,13.56,13.76,13.53,13.77,13.93
SZ300710,万隆光电,2025-05-08,09:30:48,19.05,19.58,19.22,19.23,19.30
SH603416,信捷电气,2025-05-08,09:30:48,60.84,60.70,59.41,60.14,65.49
SZ002576,通达动力,2025-05-08,09:30:48,15.97,16.10,15.86,16.01,16.18
SH603087,甘李药业,2025-05-08,09:30:48,49.06,51.24,51.30,51.50,50.81
SZ301199,迈赫股份,2025-05-08,09:30:51,36.74,36.04,35.59,35.79,36.45
SZ300136,信维通信,2025-05-08,09:30:54,21.05,21.24,20.90,21.28,21.59
SZ002642,荣联科技,2025-05-08,09:30:57,7.74,7.75,7.60,7.65,7.84
SH603667,五洲新春,2025-05-08,09:30:57,37.99,38.33,36.96,37.55,39.59
SZ002653,海思科,2025-05-08,09:31:00,41.67,41.58,42.45,41.67,41.81
SH603109,神驰机电,2025-05-08,09:31:00,23.65,24.12,23.36,24.40,25.05
SZ001282,三联锻造,2025-05-08,09:31:06,28.21,27.96,28.03,28.55,28.85
SH603038,华立股份,2025-05-08,09:31:06,15.08,14.98,15.80,15.65,15.31
SH600645,中源协和,2025-05-08,09:31:09,21.86,21.90,21.99,22.09,22.23
SH603800,洪田股份,2025-05-08,09:31:09,23.48,25.01,25.19,25.18,25.35
SZ300473,德尔股份,2025-05-08,09:31:09,27.79,28.15,29.76,30.69,30.34
SZ300792,壹网壹创,2025-05-08,09:31:09,25.61,25.20,24.63,25.00,25.16
SZ300520,科大国创,2025-05-08,09:31:09,22.48,23.48,22.42,22.53,22.91
SH603602,纵横通信,2025-05-08,09:31:09,16.31,16.36,15.67,15.82,16.09
SH605333,沪光股份,2025-05-08,09:31:09,29.56,29.97,29.02,29.44,29.61
SZ000017,深中华A,2025-05-08,09:31:15,6.65,6.69,6.51,6.50,6.47
SZ000981,山子高科,2025-05-08,09:31:15,1.91,2.06,1.97,1.98,1.99
SZ002517,恺英网络,2025-05-08,09:31:18,17.15,16.95,16.67,16.75,16.78
SH603677,奇精机械,2025-05-08,09:31:21,20.17,20.86,22.39,22.00,22.39
SH600900,长江电力,2025-05-08,09:31:21,29.28,29.30,29.55,29.46,29.54
SZ300253,卫宁健康,2025-05-08,09:31:21,10.37,10.32,10.02,10.15,10.09
SH603383,顶点软件,2025-05-08,09:31:24,41.82,41.12,40.91,41.20,41.51
SZ301188,力诺药包,2025-05-08,09:31:24,17.49,18.10,17.98,18.00,17.92
SZ300695,兆丰股份,2025-05-08,09:31:36,81.52,78.80,74.61,76.10,81.92
SH603381,永臻股份,2025-05-08,09:31:39,22.20,21.84,21.66,21.66,21.65
SZ000862,银星能源,2025-05-08,09:31:42,5.78,5.75,5.72,5.68,5.64
SH600886,国投电力,2025-05-08,09:31:48,15.16,15.11,15.30,15.22,15.17
SH601328,交通银行,2025-05-08,09:31:54,7.49,7.46,7.51,7.52,7.60
SH600505,西昌电力,2025-05-08,09:32:03,15.84,15.80,15.32,15.62,15.64
SH605286,同力日升,2025-05-08,09:32:06,38.92,38.31,37.50,37.79,39.07
SH600490,鹏欣资源,2025-05-08,09:32:06,4.60,4.55,4.61,4.53,4.54
SZ002175,东方智造,2025-05-08,09:32:06,4.69,4.63,4.57,4.60,4.64
SH603701,德宏股份,2025-05-08,09:32:09,17.23,17.11,17.32,17.37,17.45
SZ301215,中汽股份,2025-05-08,09:32:12,5.79,5.98,5.98,5.95,5.97
SH600528,中铁工业,2025-05-08,09:32:12,7.49,7.52,7.45,7.48,7.50
SZ000837,秦川机床,2025-05-08,09:32:21,13.28,12.98,12.86,13.08,13.27
SH605218,伟时电子,2025-05-08,09:32:33,21.34,21.46,21.26,21.47,21.66
SZ002243,力合科创,2025-05-08,09:32:54,8.32,8.25,8.17,8.18,8.15
SH600798,宁波海运,2025-05-08,09:32:57,3.02,3.02,2.97,2.99,3.05
